artist_name,genre,popularity,followers,external_url,ticket_sales,ticket_price
Johnny Yukon,trap soul,47,76627,https://open.spotify.com/artist/4fLF7NyMYLaMxUmZCSp5ex,No events,No price
Lauv,pop,75,6287497,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv,Unknown,50.5
Foxing,"alternative emo, bubblegrunge, dreamo, emo, stl indie",44,127189,https://open.spotify.com/artist/2dfxY7YDuYCUtWFzWTS6IR,Unknown,20.0
Knox,singer-songwriter pop,58,122224,https://open.spotify.com/artist/61S5H9Lxn1PDUvu1TV0kCX,Unknown,18.0
Metallica,"hard rock, metal, old school thrash, rock, thrash metal",83,28338975,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Unknown,Unknown
Artemas,,80,909537,https://open.spotify.com/artist/0PCCGZ0wGLizHt2KZ7hhA2,Unknown,81.46
The Offspring,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",78,5769457,https://open.spotify.com/artist/5LfGQac0EIXyAN8aUwmNAQ,Unknown,550.0
Suki Waterhouse,indie pop,71,769560,https://open.spotify.com/artist/5GGJosGMs08YEmKTZJe1fL,Unknown,Unknown
Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave, rock",84,21279102,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,Unknown,Unknown
LISA,k-pop,82,8784051,https://open.spotify.com/artist/5L1lO4eRHmJ7a0Q6csE5cT,Unknown,Unknown
Kevian Kraemer,,47,58501,https://open.spotify.com/artist/4YuuDwJsOgciB2sYUvmo4a,No events,No price
Marlhy,,43,13014,https://open.spotify.com/artist/1fvH6NeNDohKGKwvRiebRA,No events,No price
House of Protection,,39,17779,https://open.spotify.com/artist/6fb3I3Q54izgnOMtiZbOBA,Unknown,17.5
The Jesus Lizard,"alternative rock, experimental rock, grunge, noise rock, post-hardcore",37,97168,https://open.spotify.com/artist/6r26MaDr8bqNALjXgYPXMa,Unknown,Unknown
Myles Kennedy,,50,191964,https://open.spotify.com/artist/2YZOQlBE1v44RxPEAVSdVR,Unknown,29.5
Palomino Blond,miami indie,21,4274,https://open.spotify.com/artist/0oNZ5XN1TT4aWlxHhx8oWe,Unknown,15.0
Qumu,"lo-fi vgm, pixel, vgm remix",52,155692,https://open.spotify.com/artist/0LzeyDrlLtuyBqMSBN4z3U,No events,No price
Nada Surf,power pop,48,192706,https://open.spotify.com/artist/11zHPjHnZN0ACA50rSnTcy,Unknown,Unknown
Cursive,"emo, omaha indie",42,113265,https://open.spotify.com/artist/1sylmUjlKYsLA49YtkNHW3,Unknown,25.0
Temples,"garage rock, neo-psychedelic",43,260505,https://open.spotify.com/artist/4ogwGU9VPWrnVBs1GEwZVV,Unknown,Unknown
Bryant Barnes,,68,287020,https://open.spotify.com/artist/1URGXPcURc0aQzLeph65nK,No events,No price
Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,91745345,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,Unknown,10.0
Set It Off,"electropowerpop, otacore, pixie, pov: indie",66,983895,https://open.spotify.com/artist/06bDwgCHeMAwhgI8il4Y5k,Unknown,28.7
Sabrina Carpenter,pop,95,12348694,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,Unknown,56.2
Mötley Crüe,"album rock, alternative metal, glam metal, hard rock, metal, rock, sleaze rock",71,5278983,https://open.spotify.com/artist/0cc6vw3VN8YlIcvr1v7tBL,Unknown,Unknown
Stevie Nicks,heartland rock,66,1692514,https://open.spotify.com/artist/7crPfGd2k81ekOoSqQKWWz,Unknown,Unknown
potsu,"japanese chillhop, lo-fi beats, lo-fi rap",57,347659,https://open.spotify.com/artist/5XE0fiZWGbq9TcSuWwJ1fA,No events,No price
Jordin Sparks,"dance pop, pop, post-teen pop, urban contemporary",63,2418769,https://open.spotify.com/artist/2AQjGvtT0pFYfxR3neFcvz,No events,No price
Adam Port,melodic house,77,184234,https://open.spotify.com/artist/2loEsOijJ6XiGzWYFXMIRk,Unknown,Unknown
Teddy Swims,,84,2939593,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump,Unknown,45.0
NERIAH,"alt z, singer-songwriter pop",49,109531,https://open.spotify.com/artist/1dUrqVHcv2FCXxlIqzIbiG,No events,No price
Halsey,"electropop, etherpop, indie poptimism, pop",81,21692415,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,No events,No price
Joan Jett & the Blackhearts,"glam punk, rock",66,872825,https://open.spotify.com/artist/1Fmb52lZ6Jv7FMWXXTPO3K,No events,No price
Jeremy Zucker,"alt z, electropop, pop",68,2270185,https://open.spotify.com/artist/3gIRvgZssIb9aiirIg0nI3,No events,No price
We Hate You Please Die,french garage rock,21,6973,https://open.spotify.com/artist/6Ts5nm6bMuPIqKy1fZRE8l,No events,No price
Journey,"album rock, classic rock, hard rock, mellow gold, rock, soft rock",76,5675216,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,Unknown,44.0
Billy Joel,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",78,6240638,https://open.spotify.com/artist/6zFYqv1mOsgBRQbae3JJ9e,Unknown,Unknown
Quavo,"atl hip hop, melodic rap, rap, trap",80,7566373,https://open.spotify.com/artist/0VRj0yCOv2FXJNP47XQnx5,No events,No price
Lost Frequencies,"belgian edm, edm, pop dance, tropical house",81,2894275,https://open.spotify.com/artist/7f5Zgnp2spUuuzKplmRkt7,Unknown,Unknown
ZZ Top,"album rock, blues rock, classic rock, hard rock, rock",72,4457620,https://open.spotify.com/artist/2AM4ilv6UzW0uMRuqKtDgN,Unknown,Unknown
Taylor Acorn,singer-songwriter pop,55,197496,https://open.spotify.com/artist/1A0WloDoRE88uUwo3wensY,Unknown,Unknown
Frex,,44,23798,https://open.spotify.com/artist/2sjktXSuCqEU42XUox2oXr,Unknown,0.0
Stephen Dawes,singer-songwriter pop,58,171086,https://open.spotify.com/artist/3jTU1IOqkO7Mz4zdbXPose,Unknown,29.5
Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",79,20823202,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,Unknown,27.0
CATTY,,32,7229,https://open.spotify.com/artist/0SAfVY2Qy5TbA3mreZfHyf,Unknown,15.0
LE SSERAFIM,k-pop girl group,81,5712283,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,No events,No price
Dasha,,76,212775,https://open.spotify.com/artist/7Ez6lTtSMjMf2YSYpukP1I,Unknown,25.0
Dosser,grungegaze,18,4249,https://open.spotify.com/artist/4docLaOEimvNmjei3CLOzB,No events,No price
Eagles,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock",77,10957159,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,Unknown,Unknown
