artist_name,genre,popularity,followers,external_url
Maren Morris,"classic texas country, contemporary country",71,829088,https://open.spotify.com/artist/6WY7D3jk8zTrHtmkqqo5GI
Paul Cauthen,new americana,64,176208,https://open.spotify.com/artist/6yHM0XQEdu9sIlbILMaKBp
Priscilla Block,"contemporary country, modern country pop",57,158030,https://open.spotify.com/artist/6BpvASijzSWj7gnZD4Dvf1
Laura Marling,"british folk, british singer-songwriter, chamber pop, singer-songwriter",56,508074,https://open.spotify.com/artist/7B2edU3Q7btJoNsoHCNohM
Pixies,"alternative rock, boston rock, permanent wave, rock",72,3121602,https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT
bbno$,"canadian hip hop, dark trap, meme rap",74,1603750,https://open.spotify.com/artist/41X1TR6hrK8Q2ZCpp2EqCz
Disclosure,"edm, house, indietronica, uk dance",77,2248320,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et
ADÉLA,,45,18087,https://open.spotify.com/artist/2qanRMyA5bNuTvz1dK45OP
Matt Champion,bedroom pop,51,168705,https://open.spotify.com/artist/29Oq9Nv8zLgu3IvX1tIpbm
BabyChiefDoit,,66,77758,https://open.spotify.com/artist/1J1pGfTqp5ReVIX8Z1Wzsg
G Herbo,"chicago drill, chicago rap, drill, trap",71,2194241,https://open.spotify.com/artist/5QdEbQJ3ylBnc3gsIASAT5
The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock",74,4045046,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz
Joaquina,,50,87193,https://open.spotify.com/artist/081F5qgtVMfcHZKDY1IEa0
Gracie Binion,,51,5208,https://open.spotify.com/artist/0ZDuCmctvivaIwQuHrg48n
Amber Mark,"alternative r&b, indie soul, nyc pop",57,429082,https://open.spotify.com/artist/0tbeZu9lv8YEKSQ9tZSslu
Rachel Zegler,,57,130658,https://open.spotify.com/artist/1q9hWC9JAJXjXwZN9aDKW3
